paso,tiempo,energia,temperatura,presion
0,0.0,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
1,1e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
2,2e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
3,3e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
4,4e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
5,5e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
6,6e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
7,7e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
8,8e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
9,9e-12,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
10,1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
11,1.0999999999999999e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
12,1.2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
13,1.3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
14,1.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
15,1.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
16,1.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
17,1.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
18,1.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
19,1.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
20,2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
21,2.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
22,2.1999999999999998e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
23,2.2999999999999998e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
24,2.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
25,2.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
26,2.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
27,2.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
28,2.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
29,2.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
30,3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
31,3.0999999999999996e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
32,3.2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
33,3.3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
34,3.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
35,3.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
36,3.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
37,3.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
38,3.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
39,3.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
40,4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
41,4.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
42,4.2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
43,4.3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
44,4.3999999999999997e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
45,4.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
46,4.5999999999999996e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
47,4.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
48,4.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
49,4.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
50,5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
51,5.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
52,5.2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
53,5.3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
54,5.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
55,5.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
56,5.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
57,5.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
58,5.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
59,5.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
60,6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
61,6.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
62,6.199999999999999e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
63,6.3e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
64,6.4e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
65,6.5e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
66,6.6e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
67,6.7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
68,6.8e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
69,6.9e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
70,7e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
71,7.1e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
72,7.2e-11,3.701834077771471e-20,268.24884621532397,0.00037018340777714707
